Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Brenden Aaronson,USA,MFFW,Leeds United,22,20,1596,0.11,0,1,0,0,0.11,0,31,23.2,0.34,1.19,22.2,1.64,0.51,0.28,0.62,0,1.53,0.28,2.26,2.54,0
Che Adams,SCO,FW,Southampton,26,21,1577,0,0,4,0,0,0.11,0,22.2,14.6,2.97,5.03,37.1,0.86,0.69,1.03,1.77,0,2.06,0.74,1.03,0.51,0
Tyler Adams,USA,MF,Leeds United,23,19,1706,0.26,0.05,0,0,0,0,0,57.4,47.1,0.89,0.63,58.6,4.11,2,1.16,1.74,0,0.11,0,1.05,0.11,0
Tosin Adarabioyo,ENG,DF,Fulham,25,14,1095,0.16,0,1,0,0,0,0,48.5,38.9,2.13,0.41,83.9,1.07,0.41,5.33,0.66,0,0.33,0.16,0.25,0.08,0
Nayef Aguerd,MAR,DF,West Ham,26,6,515,0.53,0,0,0,0,0,0,39.5,30.9,1.75,1.05,62.5,2.28,1.58,4.39,0.7,0,0.88,0,0.7,0,0
Naouirou Ahamada,FRA,MFFW,Crystal Palace,20,2,16,0,0,0,0,0,0,0,70,50,0,0,0,0,0,0,0,0,5,0,0,5,0
Rayan Aït Nouri,FRA,DF,Wolves,21,17,913,0.3,0,1,0,0,0,0.1,48.4,39.3,1.29,1.39,48.1,2.67,1.58,2.57,1.09,0.1,0.99,0.5,0.69,2.08,0
Kristoffer Ajer,NOR,DF,Brentford,24,9,763,0,0,0,0,0,0,0,40.6,30.5,1.76,1.29,57.7,1.29,0.94,2.59,0.59,0.12,0.12,0,0.94,0.71,0
Manuel Akanji,SUI,DF,Manchester City,27,15,1286,0.07,0,0,0,0,0.07,0,80.9,76.2,0.84,1.4,37.5,1.54,1.05,1.19,0.91,0,0.77,0.14,0.49,0.21,0
Nathan Aké,NED,DF,Manchester City,27,15,1156,0,0,0,0,0,0,0,92,84.2,1.72,1.33,56.4,1.25,0.55,1.64,0.7,0,0.31,0,0.7,0.39,0
Marc Albrighton,ENG,FWMF,Leicester City,33,6,237,0,0,1,0,0,0,0,57.3,34.6,0.38,0.38,50,1.54,0.38,1.92,0.77,0,0.77,0.38,0.77,10.8,0
Thiago Alcántara,ESP,MF,Liverpool,31,14,1154,0.16,0,0,0,0,0,0,76.6,65.8,1.09,1.88,36.8,3.2,1.8,0.94,1.41,0.08,0.7,0.08,1.95,0.08,0
Carlos Alcaraz,ARG,MF,Southampton,20,3,134,0,0,1,0,0,0,0,32.7,24.7,0,1.33,0,1.33,1.33,0.67,1.33,0,2.67,0.67,0.67,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,24,20,1441,0.19,0,1,0,0,0.06,0,88.9,64.9,0.69,0.44,61.1,1.44,1.06,1.13,0.5,0,1.31,0.19,0.19,8.56,0
Alisson,BRA,GK,Liverpool,30,20,1800,0,0,0,0,0,0.05,0,37.1,31.8,0.2,0.05,80,0,0,0.6,0.05,0,0,0,0.05,0,0
Dele Alli,ENG,MF,Everton,26,2,40,0,0,0,0,0,0,0,37.5,30,2.5,5,33.3,0,0,0,0,0,0,0,2.5,0,0
Miguel Almirón,PAR,FW,Newcastle Utd,29,22,1816,0.05,0,10,0,0,0.05,0,35.5,29.3,0.2,0.45,30.8,1.78,1.19,0.45,0.69,0,2.33,0.74,1.29,0.94,0
Julián Álvarez,ARG,FWMF,Manchester City,23,16,578,0,0,4,0,0,0,0,31.3,24.7,0.78,1.72,31.3,1.56,0.78,0.16,1.56,0,2.97,1.25,0.78,1.25,0
Daniel Amartey,GHA,DF,Leicester City,28,17,1365,0.07,0,0,0,0,0,0,62.8,57.5,1.91,1.51,55.8,1.12,0.39,3.82,0.46,0.07,0.2,0.13,0.2,0,0
Joachim Andersen,DEN,DF,Crystal Palace,26,17,1477,0.18,0,1,0,0,0,0,63.8,50.9,2.44,1.1,69,1.46,0.67,6.95,0.98,0,0.67,0.3,0.67,0.24,0
Elliot Anderson,SCO,FWMF,Newcastle Utd,20,10,121,0,0,0,0,0,0,0,54.6,41.5,3.85,1.54,71.4,3.85,2.31,0,1.54,0,3.08,0.77,5.38,2.31,0
Jaidon Anthony,ENG,MFFW,Bournemouth,23,17,783,0.11,0,3,0,0,0,0,39.5,28.9,0.92,1.03,47.1,2.76,1.49,1.03,0.69,0,1.95,1.15,0.69,3.56,0
Michail Antonio,JAM,FW,West Ham,32,21,1051,0.09,0,2,0,0,0.17,0,17.4,9.06,2.05,3.93,34.3,0.94,0.51,0.34,1.45,0,2.05,0.68,1.97,1.62,0
Antony,BRA,FW,Manchester Utd,22,12,908,0.3,0,3,0,0,0,0,40.9,31.6,0.3,0.79,27.3,1.39,0.3,0.3,0.4,0,3.27,1.39,1.29,1.78,0
Cameron Archer,ENG,FWMF,Aston Villa,21,6,49,0,0,0,0,0,0,0,24,16,0,0,0,0,0,0,4,0,0,0,2,2,0
Alphonse Areola,FRA,GK,West Ham,29,2,107,0,0,0,0,0,0,0,35,24.2,0,0,0,0,0,0,0.83,0.83,0,0,0,0,0
Joe Aribo,NGA,MFFW,Southampton,26,19,1094,0.16,0,2,0,0,0,0,29,21.1,2.21,2.95,42.9,2.38,1.56,0.82,0.74,0,1.07,0.66,0.9,0.57,0
Adam Armstrong,ENG,FW,Southampton,26,20,1027,0,0,1,0,0,0.09,0,22.1,16.2,0.26,1.23,17.6,0.88,0.53,0.44,0.96,0,1.67,0.79,0.61,1.14,0
Stuart Armstrong,SCO,MFFW,Southampton,30,18,767,0.35,0,1,0,0,0,0,43.2,34.2,0.59,0.59,50,1.65,0.94,0.71,1.18,0,1.53,0.35,1.29,1.88,0
Kepa Arrizabalaga,ESP,GK,Chelsea,28,14,1215,0,0,0,0,0,0,0,37.5,32.1,0.37,0.07,83.3,0.15,0.15,0.59,0,0,0,0,0.3,0,0
Pierre-Emerick Aubameyang,GAB,FW,Chelsea,33,11,433,0.21,0,1,0,0,0,0,17.9,12.7,0.21,1.88,10,0.21,0,0.83,0.83,0,2.08,1.04,0.21,0.63,0
Ludwig Augustinsson,SWE,DF,Aston Villa,28,3,77,1.11,0,0,0,0,0,0,47.8,28.9,4.44,1.11,80,1.11,1.11,1.11,1.11,0,2.22,1.11,3.33,5.56,0
Serge Aurier,CIV,DF,Nott'ham Forest,30,14,1082,0.17,0,1,0,0,0,0,49.3,33.6,2.5,1.33,65.2,3.25,2,3.83,0.67,0,0.5,0.17,1.33,2.58,0
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,25,16,730,0,0,4,0,0,0,0,15.3,11.1,0.86,3.7,18.9,1.23,0.99,1.23,0.99,0,2.35,0.99,1.23,0.37,0
André Ayew,GHA,FW,Nott'ham Forest,33,2,29,0,0,0,0,0,0,0,6.67,6.67,3.33,6.67,33.3,3.33,0,3.33,0,0,0,0,3.33,0,0
