Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Abner,BRA,DF,Betis,22,4,272,0,0,0,0,0,0,0,54.3,39,1,2,33.3,2.67,2.33,2.67,0.67,0,0.67,0.33,0.67,1.33,0
Marcos Acuña,ARG,DF,Sevilla,31,16,985,0.46,0.09,2,0,0,0.09,0,62.9,46.5,1.19,0.92,56.5,3.3,1.74,1.28,1.65,0.09,1.47,0.37,1.65,7.61,0
Álvaro Aguado,ESP,MF,Valladolid,26,19,1130,0.16,0,0,0,0,0.16,0,53.3,44.2,0.95,1.03,48,0.95,0.48,0.56,0.48,0.08,0.71,0.16,1.27,2.22,0
Joseph Aidoo,GHA,DF,Celta Vigo,27,20,1800,0.15,0,2,0,0,0,0,50.8,43.4,1.75,1.85,48.6,1.7,1.05,4.2,0.6,0.05,0.45,0.1,0.35,0,0
Sergio Akieme,ESP,DF,Almería,25,21,1890,0.19,0,0,0,0,0,0,43.9,34,0.52,0.62,45.8,1.29,0.76,1.48,0.81,0,1.05,0.29,0.67,3,0
Paul Akouokou,CIV,MF,Betis,25,6,238,0.77,0,0,0,0,0,0,38.8,36.2,0.38,2.31,14.3,3.46,1.92,0.77,1.54,0,0.77,0.38,1.15,0,0
David Alaba,AUT,DF,Real Madrid,30,17,1365,0.2,0,1,0,0,0.2,0,56.8,50.2,0.33,0.39,45.5,0.66,0.53,1.64,0.46,0.07,0.59,0.07,0.13,1.25,0
Tomás Alarcón,CHI,MF,Cádiz,24,4,223,0.8,0.4,0,0,0,0,0,38,31.2,1.2,0.4,75,1.2,0.8,0.8,1.6,0,0.8,0.4,1.2,2.4,0
Jordi Alba,ESP,DF,Barcelona,33,14,931,0.39,0.1,1,0,0,0.29,0,97,82.6,0.58,0.97,37.5,1.65,1.26,1.36,0.68,0,0.87,0.19,0.19,5.05,0
Raúl Albiol,ESP,DF,Villarreal,37,17,1519,0.3,0,0,0,0,0,0,61.8,54.7,1.72,0.95,64.4,1.01,0.65,4.56,0.83,0,0.06,0,0.65,0.06,0
Rubén Alcaraz,ESP,MF,Cádiz,31,16,1008,0.54,0.09,1,0,0,0,0,41.3,32.5,1.52,1.34,53.1,2.5,1.7,1.52,1.96,0,1.52,0.18,1.79,1.16,0
Omar Alderete,PAR,DF,Getafe,26,8,630,0.43,0,0,0,0,0,0,44.9,28.3,3.14,1.71,64.7,1.29,0.29,4.29,1.14,0,0.71,0.14,0.86,0.29,0
Iván Alejo,ESP,MFFW,Cádiz,28,16,729,1.11,0.12,0,0,0,0.12,0,23.8,13.3,1.73,1.23,58.3,2.96,1.98,0.86,3.33,0.12,1.48,0.25,2.72,6.17,0
Carles Aleñá,ESP,MF,Getafe,25,19,1455,0.49,0,2,0,0,0.12,0,36.6,28.3,0.56,1.3,30,0.93,0.62,0.86,2.41,0,1.3,0.49,2.28,1.42,0
Alejandro Alfaro,ESP,MF,Elche,20,1,15,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,10,0,0,0,0,0,0
Ángel Algobia,ESP,MF,Getafe,23,14,747,0.24,0,0,0,0,0,0,44.5,36.6,0.72,1.69,30,1.93,0.84,0.72,2.29,0,0.36,0,0.84,0.84,0
Mohamed Ali Cho,FRA,FW,Real Sociedad,19,8,317,0.29,0,0,0,0,0.57,0,20.9,13.1,0.29,2.29,11.1,1.43,0.86,0.57,1.43,0,3.14,1.43,2,4.29,0.29
Domingos André Ribeiro Almeida,POR,MF,Valencia,22,18,1255,0.14,0,2,0,0,0.22,0,49.2,40.1,0.65,1.15,36,2.52,1.73,0.58,1.15,0,0.79,0.36,1.51,3.24,0
Marcos Alonso,ESP,DF,Barcelona,32,12,620,0.14,0,1,0,0,0,0,80.7,73.6,1.59,1.16,57.9,1.16,0.72,2.32,0.87,0.14,0.43,0.14,0.58,1.01,0
Carlos Álvarez,ESP,FW,Sevilla,19,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0
Gastón Álvarez,URU,DF,Getafe,22,10,571,0.32,0.16,2,0,0,0,0,32.2,21.1,2.22,2.22,50,2.22,1.43,2.7,1.43,0,0.32,0.32,1.11,0.79,0
Yeray Álvarez,ESP,DF,Athletic Club,28,18,1565,0.17,0.06,1,0,0,0.06,0,54.1,44.3,2.01,1.49,57.4,1.21,0.8,3.74,0.75,0.06,0.34,0.06,0.98,0.34,0
Amath,SEN,MFFW,Mallorca,26,14,494,0.36,0,1,0,0,0,0,21.6,16.7,0.36,0.91,28.6,3.09,1.82,0.36,2.73,0,1.82,0.73,1.09,1.27,0.18
Jordan Amavi,FRA,DF,Getafe,28,4,193,0.95,0.48,0,0,0,0,0,45.7,24.3,3.81,1.43,72.7,1.43,0.95,3.33,0.95,0,0,0,0.95,2.86,0
Fabrizio Angileri,ARG,DF,Getafe,28,8,510,0.35,0.18,0,0,0,0,0,38.8,22.8,2.46,1.23,66.7,1.23,0.88,1.4,1.05,0.18,0.53,0,0.18,1.58,0
Anuar,MAR,MFFW,Valladolid,28,3,210,0.43,0,1,0,0,0,0,17.4,13,0.87,2.17,28.6,1.74,1.74,1.3,1.3,0,1.3,0.43,2.61,0.43,0
Mauro Arambarri,URU,MF,Getafe,27,7,587,0.31,0.15,0,0,0,0.15,0,41.5,34.5,0.92,0.77,54.5,1.38,0.62,1.54,1.69,0,0.92,0,1.54,3.85,0
Ronald Araújo,URU,DF,Barcelona,23,10,859,0.32,0,0,0,0,0.11,0,65.5,58.1,2.11,1.26,62.5,1.37,0.95,1.89,0.53,0,0.63,0,0.42,0.11,0
Roberto Arroyo,ESP,MF,Valladolid,19,1,15,0,0,0,0,0,0,0,25,0,0,0,0,5,5,0,0,0,0,0,0,5,0
Santiago Arzamendia,PAR,MFDF,Cádiz,24,8,299,0,0,0,0,0,0,0,37.3,24.2,1.52,1.82,45.5,1.52,1.21,2.42,0.91,0,0.91,0.3,0.3,1.82,0
Sergio Asenjo,ESP,GK,Valladolid,33,5,450,0,0,0,0,0,0,0,36.2,24.2,0,0,0,0,0,1.2,0,0,0,0,0.4,0,0
Marco Asensio,ESP,FWMF,Real Madrid,27,15,500,0.18,0,2,0,0.18,0.54,0,48.9,39.8,0.36,0,100,1.43,0.89,0.36,0.89,0.18,3.75,1.07,1.07,5.54,0.18
Iago Aspas,ESP,FW,Celta Vigo,35,20,1662,0.22,0,9,0.05,0.11,0.16,0,37.5,29,0.97,1.41,40.9,0.11,0.05,0.65,0.59,0,2.27,1.03,2.16,1.3,0
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,33,1,9,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,10,0,0,0,0
Ludwig Augustinsson,SWE,DF,Mallorca,28,1,71,0,0,0,0,0,0,0,37.5,26.3,2.5,0,100,0,0,3.75,0,0,0,0,0,3.75,0
Ezequiel Ávila,ARG,FWMF,Osasuna,29,18,1161,0.39,0.08,7,0.16,0.23,0.16,0,27.3,15.3,2.02,2.71,42.6,0.39,0.23,0.7,0.85,0,3.1,1.4,2.17,4.19,0
Iddrisu Baba,GHA,MF,Mallorca,27,17,995,0.36,0,0,0,0,0,0,30.7,25.5,1.44,0.81,64,1.98,0.99,1.53,2.34,0,0.63,0,1.53,0,0
Sr?an Babi?,SRB,DF,Almería,26,18,1575,0.17,0,1,0,0,0,0,45.5,38.6,1.71,1.14,60,1.03,0.46,2.86,0.8,0,0.29,0.17,0.11,0.11,0
